"T" "tol" "q1" "q2" "q1sq" "q1q2" "q2sq"
"1" 100 -13.8155105579643 3.64409187499157e-10 9.68151741783213e-11 1.10224585584055e-08 3.25587276595778e-09 1.05196617261698e-09
"2" 100 -12.940686332804 9.81942127450942e-10 2.59270220493828e-10 2.74599645117361e-08 7.87601809131433e-09 2.49878428975016e-09
"3" 100 -12.0658621076437 3.21820628249896e-09 8.51429939545716e-10 8.08691889945389e-08 2.33936898159627e-08 7.58876851905877e-09
"4" 100 -11.1910378824834 8.50323095067591e-09 2.24286712641775e-09 1.89396312416449e-07 5.92364616991794e-08 2.13005237225684e-08
"5" 100 -10.3162136573231 2.60009855155739e-08 6.90043032876938e-09 4.14113291074488e-07 1.40717698142651e-07 6.0867254338908e-08
"6" 100 -9.44138943216283 5.73948859451457e-08 1.55939976197392e-08 8.47429612902597e-07 3.45947297114493e-07 1.61193969644767e-07
"7" 100 -8.56656520700254 1.90365198339446e-07 5.06698251356869e-08 2.54410132027439e-06 9.91152545919102e-07 4.3288400404921e-07
"8" 100 -7.69174098184225 4.72727135886871e-07 1.47218659383544e-07 7.76625735201782e-06 2.75878241218652e-06 1.28627475911247e-06
"9" 100 -6.81691675668197 1.46260178424752e-06 3.88543483686434e-07 3.05605479260088e-05 1.02230637513243e-05 4.05842566158133e-06
"10" 100 -5.94209253152168 4.74556442974828e-06 1.26644502038554e-06 0.000109099689778831 3.62979490205996e-05 1.32710092616823e-05
"11" 100 -5.06726830636139 1.35759851929825e-05 3.61949005798485e-06 0.000427742856368131 0.000123577634665899 4.09749607312998e-05
"12" 100 -4.1924440812011 4.16120585326608e-05 1.10039628940863e-05 0.00152396449671643 0.000428865917808251 0.000133222196700543
"13" 100 -3.31761985604081 0.00015221576265454 4.05403783093291e-05 0.00460118611354001 0.0013867129862845 0.000469539876463484
"14" 100 -2.44279563088052 0.000497651334883507 0.000132501577981412 0.0204534691979736 0.00575227272232941 0.00172766519921518
"15" 100 -1.56797140572023 0.00104539329295895 0.000279206188704931 0.0620900858996785 0.0162684306650027 0.00455459171437667
"16" 100 -0.693147180559945 0.00469409237556348 0.00124662680087618 0.121209864434307 0.0407542140690492 0.0144530101297695
"17" 1000 -13.8155105579643 1.128937395683e-10 3.01878992153157e-11 1.19927877134322e-08 3.18257297879504e-09 8.39227999374947e-10
"18" 1000 -12.940686332804 3.85480160496668e-10 1.02123850121366e-10 3.21021147226292e-08 8.48793884253313e-09 2.25593254758254e-09
"19" 1000 -12.0658621076437 1.14180692186465e-09 3.02581336110281e-10 7.74901691321375e-08 2.09201090076749e-08 5.78395248055951e-09
"20" 1000 -11.1910378824834 3.2345278092226e-09 8.58829876756514e-10 1.72875487542444e-07 4.63179430760035e-08 1.29407475530726e-08
"21" 1000 -10.3162136573231 1.03468523225855e-08 2.76319857017891e-09 3.35200806252797e-07 9.38919281239311e-08 2.85285355100499e-08
"22" 1000 -9.44138943216283 2.57522812906621e-08 6.83717409980555e-09 4.37699122067165e-07 1.80975241482588e-07 7.26659283059052e-08
"23" 1000 -8.56656520700254 6.9541245433889e-08 1.8376374500253e-08 1.03186351757063e-06 3.82453139405971e-07 1.5833689098217e-07
"24" 1000 -7.69174098184225 1.84122682557514e-07 4.89558586525014e-08 5.77642386956041e-06 1.78359868957158e-06 6.20868211596207e-07
"25" 1000 -6.81691675668197 5.66494532423752e-07 1.50648573987781e-07 2.8641578751404e-05 8.30220212043086e-06 2.57807146713646e-06
"26" 1000 -5.94209253152168 1.99610623459737e-06 5.3059899889917e-07 0.000119539160291624 3.22015213073692e-05 9.32934683548512e-06
"27" 1000 -5.06726830636139 5.8071824734516e-06 1.54204964224349e-06 0.000507499985526594 0.000138424520232251 3.92410436736539e-05
"28" 1000 -4.1924440812011 1.96449547010218e-05 5.21954892554557e-06 0.00173703963244127 0.00047788732864076 0.000135783980765228
"29" 1000 -3.31761985604081 5.55356596727149e-05 1.47680230553899e-05 0.00586077219266999 0.00157867631493111 0.000440249289161418
"30" 1000 -2.44279563088052 0.000178777061975341 4.76355034738934e-05 0.0198628642528416 0.00521914799580864 0.00141346779274674
"31" 1000 -1.56797140572023 0.000540356339195471 0.000143382183180323 0.0276030723283516 0.00745345391822093 0.00223605663162438
"32" 1000 -0.693147180559945 0.00174009815453807 0.000461873198144362 0.14637739753056 0.0392371636987543 0.0109103237512787
"33" 10000 -13.8155105579643 3.38265435509709e-11 8.98930751072392e-12 1.14793810253885e-08 3.0504797252701e-09 7.89737761010067e-10
"34" 10000 -12.940686332804 1.30026523025997e-10 3.46752739610896e-11 3.05676001931739e-08 8.11923836969011e-09 2.0973088526709e-09
"35" 10000 -12.0658621076437 4.14455004816578e-10 1.10462600657501e-10 7.59211381376093e-08 2.0253997329402e-08 5.24777186776399e-09
"36" 10000 -11.1910378824834 1.01406841121256e-09 2.70478595819959e-10 1.67554805290934e-07 4.45987616862098e-08 1.14584113014982e-08
"37" 10000 -10.3162136573231 2.76635269460652e-09 7.38697500147913e-10 2.93019736572014e-07 7.70112615517372e-08 1.9274520696428e-08
"38" 10000 -9.44138943216283 5.98911165253347e-09 1.59377608252123e-09 3.43196011433227e-07 9.22986144174865e-08 2.37741274112827e-08
"39" 10000 -8.56656520700254 1.77049835511518e-08 4.69586101918822e-09 5.26405383424335e-07 1.46587149282807e-07 5.74703586642502e-08
"40" 10000 -7.69174098184225 6.75051464769271e-08 1.80464136233443e-08 5.34379938174421e-06 1.44796113578233e-06 4.32956763694551e-07
"41" 10000 -6.81691675668197 1.43014038514226e-07 3.80136247758376e-08 2.97463814903222e-05 7.93917752198805e-06 2.22267753230585e-06
"42" 10000 -5.94209253152168 4.84857603726601e-07 1.28104265642618e-07 0.000127446922149466 3.3862395616283e-05 9.28194792039344e-06
"43" 10000 -5.06726830636139 1.6076203854593e-06 4.24695446572487e-07 0.000517062108550662 0.000136159435111083 3.66981607391012e-05
"44" 10000 -4.1924440812011 5.34378841461316e-06 1.41884271506848e-06 0.00172357655823415 0.000453995579761482 0.000122292792721194
"45" 10000 -3.31761985604081 1.83428249642565e-05 4.85622370774405e-06 0.00569695366625437 0.00150126483840865 0.000404932340462915
"46" 10000 -2.44279563088052 5.88072832490686e-05 1.55465971218899e-05 0.0186228814456187 0.00493898036058326 0.00134740653418826
"47" 10000 -1.56797140572023 0.000146846851185848 3.91167336618336e-05 0.0211305501251428 0.00558803110409593 0.00158980196157949
"48" 10000 -0.693147180559945 0.000504085956406591 0.000133768714077729 0.147551996967183 0.0391293452506251 0.0105627164901388
"49" 1e+05 -13.8155105579643 1.16164945818166e-11 3.08989101338013e-12 1.13510386104856e-08 3.00315893825899e-09 7.69549363342034e-10
"50" 1e+05 -12.940686332804 3.89219000874793e-11 1.03908489694544e-11 3.03308700052897e-08 8.05366448803892e-09 2.07136536842613e-09
